905	470	1	889325071
697	1518	5	879835275
855	1687	5	875638677
950	1447	5	877420720
806	1170	4	879889337
855	1699	3	882549566
778	1543	4	878550146
993	1512	5	891720948
891	1600	4	880931250
910	1069	5	891752740
993	1622	3	891722335
819	376	1	879330634
799	1368	2	884479057
987	1015	5	882765752
918	1627	4	879138058
733	1277	3	879341012
806	494	1	879922623
731	1594	1	891820117
901	805	3	886046474
765	551	4	890023765
800	1035	4	884498791
688	1512	3	892066963
855	1650	5	885925830
766	1629	3	892702508
787	1652	5	879324018
756	1484	4	880974039
684	1112	1	881222162
915	1525	4	880197082
876	1650	3	890655678
863	1463	4	881801135
987	1133	1	882765125
849	1538	5	879896949
813	1584	5	879833148
807	1146	3	889494258
951	959	4	888436249
709	1646	4	875203133
684	1408	4	881221242
729	1186	4	886216578
806	1296	3	879890615
732	979	3	876111757
723	503	4	879911938
699	1094	3	882445060
911	652	3	879828197
747	1650	4	891996688
898	968	3	889172259
689	1038	4	884733188
799	757	3	884482445
754	884	4	885293388
828	1212	3	875906135
720	1662	3	892070002
957	643	2	884397947
689	1039	3	884733245
941	1413	5	888571345
732	1617	4	875677514
685	1049	3	880167627
855	1401	4	875637992
752	1526	3	884903162
673	1509	4	888188998
732	1028	2	876112671
703	1414	5	875322062
705	1549	4	879885805
987	823	2	882508962
930	1116	3	884518406
855	1240	1	875639482
725	1524	4	880682490
952	1441	4	879802440
765	1281	5	890024028
917	1287	1	891550549
853	1442	4	885962210
908	1179	4	876181582
754	972	1	885291999
957	1416	5	884323611
793	1497	3	877492795
766	1215	3	892447604
799	1113	4	884509145
714	1011	5	884951719
931	1688	5	882513737
763	1206	4	879744723
915	1567	4	879822046
724	1615	3	875160041
689	1334	5	884734180
680	1301	3	885117581
886	1525	5	881628125
958	1579	4	881478748
993	1020	4	891718873
846	1398	4	879506405
894	1040	4	881819801
687	1629	4	891398314
910	1174	5	891752036
906	1514	4	892090448
776	1657	3	888472626
956	1470	2	883981505
771	1385	1	892001115
849	1220	5	879892321
689	1195	4	884733621
680	1498	4	885119116
887	1371	3	876303482
745	841	3	883584918
807	873	2	891228086
724	911	3	875159793
741	950	4	888998594
796	1528	3	892881989
922	1288	4	880002393
915	1602	4	879821886
721	1307	1	875682263
778	1377	3	877931009
712	1573	5	886742621
958	1094	3	881475708
975	971	4	886220867
881	1487	5	875149427
884	1515	3	876821689
877	1687	3	880242158
685	1043	4	880189469
858	1457	1	889008369
987	1220	3	881883363
799	1374	2	884479265
957	1069	2	884323845
805	1313	4	892130661
905	1526	5	879564401
870	1368	4	876618752
767	1218	4	878029607
956	1170	5	878716895
708	1614	4	881473948
824	1406	2	886415390
843	1295	3	887258512
793	913	3	876447224
761	1496	3	889549058
749	1556	5	886640090
731	777	4	891815339
822	1552	4	883192495
862	1579	4	879391728
970	1618	4	875428387
698	1455	2	879805081
966	1010	4	888970683
708	1424	5	881472085
729	1689	4	886216578
931	1525	3	882513756
958	1244	3	881474283
